participant_id,task,input_type,input_value,timestamp
1,B,key_pressed,1,2021-05-23 20:02:52.567554
1,B,key_pressed,+,2021-05-23 20:02:52.711552
1,B,key_pressed,2,2021-05-23 20:02:52.887729
1,B,key_pressed,+,2021-05-23 20:02:53.039488
1,B,key_pressed,3,2021-05-23 20:02:53.207389
1,B,key_pressed,+,2021-05-23 20:02:53.367498
1,B,key_pressed,4,2021-05-23 20:02:54.175094
1,B,key_pressed,+,2021-05-23 20:02:54.311275
1,B,key_pressed,5,2021-05-23 20:02:54.455355
1,B,key_pressed,+,2021-05-23 20:02:54.584769
1,B,key_pressed,6,2021-05-23 20:02:54.751254
1,B,key_pressed,+,2021-05-23 20:02:54.903452
1,B,key_pressed,7,2021-05-23 20:02:55.087264
1,B,key_pressed,+,2021-05-23 20:02:55.231204
1,B,key_pressed,8,2021-05-23 20:02:55.415411
1,B,key_pressed,+,2021-05-23 20:02:55.567643
1,B,key_pressed,9,2021-05-23 20:02:55.759065
1,B,key_pressed,+,2021-05-23 20:02:55.887728
1,B,key_pressed,1,2021-05-23 20:02:56.527719
1,B,key_pressed,0,2021-05-23 20:02:56.687021
1,B,key_pressed,+,2021-05-23 20:02:56.831299
1,B,key_pressed,1,2021-05-23 20:02:57.015757
1,B,key_pressed,1,2021-05-23 20:02:57.143465
1,B,key_pressed,+,2021-05-23 20:02:57.279526
1,B,key_pressed,1,2021-05-23 20:02:57.711234
1,B,key_pressed,2,2021-05-23 20:02:57.895313
1,B,key_pressed,+,2021-05-23 20:02:58.031457
1,B,key_pressed,1,2021-05-23 20:02:58.239336
1,B,key_pressed,3,2021-05-23 20:02:58.439242
1,B,key_pressed,+,2021-05-23 20:02:58.711577
1,B,key_pressed,1,2021-05-23 20:02:58.975769
1,B,key_pressed,4,2021-05-23 20:02:59.199182
1,B,key_pressed,+,2021-05-23 20:02:59.447752
1,B,key_pressed,1,2021-05-23 20:02:59.679358
1,B,key_pressed,5,2021-05-23 20:03:00.334982
1,B,key_pressed,+,2021-05-23 20:03:01.319420
1,B,key_pressed,1,2021-05-23 20:03:01.655560
1,B,key_pressed,6,2021-05-23 20:03:01.919607
1,B,key_pressed,+,2021-05-23 20:03:02.215508
1,B,key_pressed,1,2021-05-23 20:03:02.487534
1,B,key_pressed,7,2021-05-23 20:03:02.847551
1,B,key_pressed,+,2021-05-23 20:03:03.135587
1,B,key_pressed,1,2021-05-23 20:03:03.399606
1,B,key_pressed,8,2021-05-23 20:03:03.647580
1,B,key_pressed,+,2021-05-23 20:03:03.903637
1,B,key_pressed,1,2021-05-23 20:03:04.151492
1,B,key_pressed,9,2021-05-23 20:03:04.471715
1,B,key_pressed,+,2021-05-23 20:03:04.847395
1,B,key_pressed,2,2021-05-23 20:03:05.463179
1,B,key_pressed,0,2021-05-23 20:03:05.759615
1,B,key_pressed,=,2021-05-23 20:03:06.048451
1,D,key_pressed,(,2021-05-23 20:04:18.111211
1,D,key_pressed,3,2021-05-23 20:04:18.743707
1,D,key_pressed,**,2021-05-23 20:04:18.835418
1,D,key_pressed,2,2021-05-23 20:04:18.943328
1,D,key_pressed,+,2021-05-23 20:04:20.367374
1,D,key_pressed,4,2021-05-23 20:04:20.963394
1,D,key_pressed,**,2021-05-23 20:04:21.085016
1,D,key_pressed,1,2021-05-23 20:04:21.353910
1,D,key_pressed,2,2021-05-23 20:04:21.361788
1,D,key_pressed,delete,2021-05-23 20:04:23.179476
1,D,key_pressed,delete,2021-05-23 20:04:23.715812
1,D,key_pressed,1,2021-05-23 20:04:24.467362
1,D,key_pressed,2,2021-05-23 20:04:24.555372
1,D,key_pressed,delete,2021-05-23 20:04:26.139466
1,D,key_pressed,delete,2021-05-23 20:04:26.315156
1,D,key_pressed,3,2021-05-23 20:04:26.851579
1,D,key_pressed,delete,2021-05-23 20:04:27.235658
1,D,key_pressed,2,2021-05-23 20:04:27.427610
1,D,key_pressed,),2021-05-23 20:04:28.907795
1,D,key_pressed,*,2021-05-23 20:04:29.323182
1,D,key_pressed,1,2021-05-23 20:04:31.171461
1,D,key_pressed,5,2021-05-23 20:04:31.283454
1,D,key_pressed,.,2021-05-23 20:04:31.771716
1,D,key_pressed,2,2021-05-23 20:04:32.051565
1,D,key_pressed,=,2021-05-23 20:04:32.219592
2,B,key_pressed,1,2021-05-23 20:06:24.532357
2,B,key_pressed,+,2021-05-23 20:06:24.700019
2,B,key_pressed,2,2021-05-23 20:06:24.891838
2,B,key_pressed,+,2021-05-23 20:06:25.027971
2,B,key_pressed,3,2021-05-23 20:06:25.211977
2,B,key_pressed,+,2021-05-23 20:06:25.379792
2,B,key_pressed,4,2021-05-23 20:06:25.675997
2,B,key_pressed,+,2021-05-23 20:06:25.867939
2,B,key_pressed,5,2021-05-23 20:06:26.075404
2,B,key_pressed,+,2021-05-23 20:06:26.243560
2,B,key_pressed,6,2021-05-23 20:06:26.435572
2,B,key_pressed,+,2021-05-23 20:06:26.611388
2,B,key_pressed,7,2021-05-23 20:06:26.827670
2,B,key_pressed,+,2021-05-23 20:06:27.003887
2,B,key_pressed,8,2021-05-23 20:06:27.219784
2,B,key_pressed,+,2021-05-23 20:06:27.419826
2,B,key_pressed,9,2021-05-23 20:06:27.651539
2,B,key_pressed,+,2021-05-23 20:06:28.347558
2,B,key_pressed,1,2021-05-23 20:06:28.483870
2,B,key_pressed,0,2021-05-23 20:06:28.691519
2,B,key_pressed,+,2021-05-23 20:06:28.867496
2,B,key_pressed,1,2021-05-23 20:06:29.163268
2,B,key_pressed,1,2021-05-23 20:06:29.291437
2,B,key_pressed,+,2021-05-23 20:06:29.443907
2,B,key_pressed,1,2021-05-23 20:06:29.659686
2,B,key_pressed,2,2021-05-23 20:06:29.835575
2,B,key_pressed,+,2021-05-23 20:06:29.987739
2,B,key_pressed,1,2021-05-23 20:06:30.203718
2,B,key_pressed,3,2021-05-23 20:06:30.427749
2,B,key_pressed,+,2021-05-23 20:06:30.601642
2,B,key_pressed,1,2021-05-23 20:06:30.843517
2,B,key_pressed,4,2021-05-23 20:06:31.091739
2,B,key_pressed,+,2021-05-23 20:06:31.331616
2,B,key_pressed,1,2021-05-23 20:06:31.555619
2,B,key_pressed,5,2021-05-23 20:06:31.763474
2,B,key_pressed,+,2021-05-23 20:06:31.939701
2,B,key_pressed,1,2021-05-23 20:06:32.163810
2,B,key_pressed,6,2021-05-23 20:06:32.403600
2,B,key_pressed,+,2021-05-23 20:06:32.731587
2,B,key_pressed,1,2021-05-23 20:06:32.979705
2,B,key_pressed,7,2021-05-23 20:06:33.243399
2,B,key_pressed,+,2021-05-23 20:06:33.475559
2,B,key_pressed,1,2021-05-23 20:06:33.683731
2,B,key_pressed,8,2021-05-23 20:06:33.931354
2,B,key_pressed,+,2021-05-23 20:06:34.139768
2,B,key_pressed,1,2021-05-23 20:06:34.307542
2,B,key_pressed,9,2021-05-23 20:06:34.499815
2,B,key_pressed,+,2021-05-23 20:06:36.011298
2,B,key_pressed,2,2021-05-23 20:06:36.155343
2,B,key_pressed,0,2021-05-23 20:06:36.339450
2,B,key_pressed,=,2021-05-23 20:06:36.580513
2,D,key_pressed,(,2021-05-23 20:09:51.780094
2,D,key_pressed,3,2021-05-23 20:09:52.943846
2,D,key_pressed,**,2021-05-23 20:09:53.063334
2,D,key_pressed,2,2021-05-23 20:09:53.280012
2,D,key_pressed,+,2021-05-23 20:09:54.767313
2,D,key_pressed,4,2021-05-23 20:09:55.183919
2,D,key_pressed,**,2021-05-23 20:09:55.463871
2,D,key_pressed,2,2021-05-23 20:09:55.663904
2,D,key_pressed,),2021-05-23 20:09:57.119459
2,D,key_pressed,*,2021-05-23 20:09:57.535837
2,D,key_pressed,1,2021-05-23 20:10:00.183458
2,D,key_pressed,5,2021-05-23 20:10:00.303368
2,D,key_pressed,.,2021-05-23 20:10:00.591682
2,D,key_pressed,2,2021-05-23 20:10:01.095551
2,D,key_pressed,=,2021-05-23 20:10:02.327416
3,B,key_pressed,1,2021-05-23 20:12:13.414454
3,B,key_pressed,+,2021-05-23 20:12:13.599807
3,B,key_pressed,2,2021-05-23 20:12:13.775144
3,B,key_pressed,+,2021-05-23 20:12:13.911734
3,B,key_pressed,3,2021-05-23 20:12:14.079974
3,B,key_pressed,+,2021-05-23 20:12:14.240176
3,B,key_pressed,1,2021-05-23 20:12:14.407965
3,B,key_pressed,delete,2021-05-23 20:12:16.695855
3,B,key_pressed,4,2021-05-23 20:12:17.907882
3,B,key_pressed,+,2021-05-23 20:12:18.167942
3,B,key_pressed,5,2021-05-23 20:12:18.351611
3,B,key_pressed,+,2021-05-23 20:12:18.519755
3,B,key_pressed,6,2021-05-23 20:12:18.687843
3,B,key_pressed,+,2021-05-23 20:12:18.847918
3,B,key_pressed,7,2021-05-23 20:12:19.055832
3,B,key_pressed,+,2021-05-23 20:12:19.199717
3,B,key_pressed,8,2021-05-23 20:12:19.375640
3,B,key_pressed,+,2021-05-23 20:12:19.504834
3,B,key_pressed,9,2021-05-23 20:12:19.703738
3,B,key_pressed,+,2021-05-23 20:12:19.831918
3,B,key_pressed,1,2021-05-23 20:12:20.359736
3,B,key_pressed,0,2021-05-23 20:12:20.559599
3,B,key_pressed,+,2021-05-23 20:12:21.143501
3,B,key_pressed,1,2021-05-23 20:12:21.471821
3,B,key_pressed,1,2021-05-23 20:12:21.611997
3,B,key_pressed,+,2021-05-23 20:12:21.691710
3,B,key_pressed,1,2021-05-23 20:12:21.860040
3,B,key_pressed,2,2021-05-23 20:12:22.039903
3,B,key_pressed,+,2021-05-23 20:12:22.196129
3,B,key_pressed,1,2021-05-23 20:12:22.359792
3,B,key_pressed,2,2021-05-23 20:12:22.551542
3,B,key_pressed,delete,2021-05-23 20:12:23.619937
3,B,key_pressed,3,2021-05-23 20:12:23.868085
3,B,key_pressed,+,2021-05-23 20:12:24.212017
3,B,key_pressed,1,2021-05-23 20:12:24.428037
3,B,key_pressed,4,2021-05-23 20:12:24.692218
3,B,key_pressed,+,2021-05-23 20:12:25.204083
3,B,key_pressed,1,2021-05-23 20:12:25.435969
3,B,key_pressed,5,2021-05-23 20:12:25.651978
3,B,key_pressed,+,2021-05-23 20:12:25.803798
3,B,key_pressed,1,2021-05-23 20:12:26.011788
3,B,key_pressed,6,2021-05-23 20:12:26.331885
3,B,key_pressed,+,2021-05-23 20:12:26.539965
3,B,key_pressed,1,2021-05-23 20:12:26.764010
3,B,key_pressed,7,2021-05-23 20:12:27.012023
3,B,key_pressed,+,2021-05-23 20:12:27.203964
3,B,key_pressed,1,2021-05-23 20:12:27.523864
3,B,key_pressed,8,2021-05-23 20:12:27.787888
3,B,key_pressed,+,2021-05-23 20:12:27.956098
3,B,key_pressed,1,2021-05-23 20:12:28.163801
3,B,key_pressed,9,2021-05-23 20:12:28.331784
3,B,key_pressed,+,2021-05-23 20:12:28.683750
3,B,key_pressed,2,2021-05-23 20:12:28.899646
3,B,key_pressed,0,2021-05-23 20:12:29.116024
3,B,key_pressed,=,2021-05-23 20:12:29.333129
3,D,key_pressed,(,2021-05-23 20:11:45.459239
3,D,key_pressed,3,2021-05-23 20:11:45.930525
3,D,key_pressed,**,2021-05-23 20:11:46.219572
3,D,key_pressed,2,2021-05-23 20:11:46.339862
3,D,key_pressed,+,2021-05-23 20:11:47.660065
3,D,key_pressed,4,2021-05-23 20:11:48.076035
3,D,key_pressed,**,2021-05-23 20:11:48.324049
3,D,key_pressed,2,2021-05-23 20:11:48.580136
3,D,key_pressed,),2021-05-23 20:11:49.612235
3,D,key_pressed,*,2021-05-23 20:11:50.203844
3,D,key_pressed,1,2021-05-23 20:11:50.887752
3,D,key_pressed,5,2021-05-23 20:11:51.005958
3,D,key_pressed,.,2021-05-23 20:11:51.544039
3,D,key_pressed,2,2021-05-23 20:11:51.851466
3,D,key_pressed,=,2021-05-23 20:11:52.687962
4,B,key_pressed,1,2021-05-23 20:16:45.530555
4,B,key_pressed,+,2021-05-23 20:16:45.746546
4,B,key_pressed,2,2021-05-23 20:16:45.964148
4,B,key_pressed,+,2021-05-23 20:16:46.130850
4,B,key_pressed,3,2021-05-23 20:16:46.316079
4,B,key_pressed,+,2021-05-23 20:16:46.499899
4,B,key_pressed,4,2021-05-23 20:16:46.683779
4,B,key_pressed,+,2021-05-23 20:16:46.828576
4,B,key_pressed,5,2021-05-23 20:16:47.012167
4,B,key_pressed,+,2021-05-23 20:16:47.140440
4,B,key_pressed,6,2021-05-23 20:16:47.356364
4,B,key_pressed,+,2021-05-23 20:16:47.508387
4,B,key_pressed,7,2021-05-23 20:16:47.716352
4,B,key_pressed,+,2021-05-23 20:16:47.875862
4,B,key_pressed,8,2021-05-23 20:16:48.051908
4,B,key_pressed,+,2021-05-23 20:16:48.188546
4,B,key_pressed,9,2021-05-23 20:16:48.380421
4,B,key_pressed,+,2021-05-23 20:16:48.524412
4,B,key_pressed,1,2021-05-23 20:16:48.764197
4,B,key_pressed,0,2021-05-23 20:16:48.944201
4,B,key_pressed,+,2021-05-23 20:16:49.092350
4,B,key_pressed,1,2021-05-23 20:16:49.284224
4,B,key_pressed,1,2021-05-23 20:16:49.548273
4,B,key_pressed,+,2021-05-23 20:16:49.699984
4,B,key_pressed,1,2021-05-23 20:16:49.899948
4,B,key_pressed,2,2021-05-23 20:16:50.107900
4,B,key_pressed,+,2021-05-23 20:16:50.220097
4,B,key_pressed,1,2021-05-23 20:16:50.460090
4,B,key_pressed,3,2021-05-23 20:16:50.676129
4,B,key_pressed,+,2021-05-23 20:16:50.787780
4,B,key_pressed,1,2021-05-23 20:16:51.028161
4,B,key_pressed,4,2021-05-23 20:16:51.252260
4,B,key_pressed,+,2021-05-23 20:16:51.379834
4,B,key_pressed,1,2021-05-23 20:16:51.572264
4,B,key_pressed,5,2021-05-23 20:16:51.796017
4,B,key_pressed,+,2021-05-23 20:16:52.015903
4,B,key_pressed,1,2021-05-23 20:16:52.260887
4,B,key_pressed,6,2021-05-23 20:16:52.655832
4,B,key_pressed,+,2021-05-23 20:16:52.811855
4,B,key_pressed,1,2021-05-23 20:16:53.056125
4,B,key_pressed,7,2021-05-23 20:16:53.320269
4,B,key_pressed,+,2021-05-23 20:16:53.536136
4,B,key_pressed,1,2021-05-23 20:16:53.784187
4,B,key_pressed,8,2021-05-23 20:16:54.032102
4,B,key_pressed,+,2021-05-23 20:16:54.208285
4,B,key_pressed,1,2021-05-23 20:16:54.432148
4,B,key_pressed,9,2021-05-23 20:16:54.696612
4,B,key_pressed,+,2021-05-23 20:16:54.896015
4,B,key_pressed,2,2021-05-23 20:16:55.200262
4,B,key_pressed,0,2021-05-23 20:16:55.400370
4,B,key_pressed,=,2021-05-23 20:16:55.609313
4,D,key_pressed,(,2021-05-23 20:14:19.808309
4,D,key_pressed,3,2021-05-23 20:14:20.594118
4,D,key_pressed,**,2021-05-23 20:14:21.439836
4,D,key_pressed,2,2021-05-23 20:14:21.575778
4,D,key_pressed,+,2021-05-23 20:14:22.479978
4,D,key_pressed,4,2021-05-23 20:14:22.771839
4,D,key_pressed,**,2021-05-23 20:14:23.180128
4,D,key_pressed,2,2021-05-23 20:14:23.348012
4,D,key_pressed,),2021-05-23 20:14:23.975993
4,D,key_pressed,*,2021-05-23 20:14:24.980420
4,D,key_pressed,1,2021-05-23 20:14:25.611865
4,D,key_pressed,5,2021-05-23 20:14:25.719718
4,D,key_pressed,.,2021-05-23 20:14:26.299915
4,D,key_pressed,2,2021-05-23 20:14:26.451703
4,D,key_pressed,=,2021-05-23 20:14:26.844072
5,B,key_pressed,1,2021-05-23 20:24:03.160915
5,B,key_pressed,+,2021-05-23 20:24:03.328593
5,B,key_pressed,2,2021-05-23 20:24:03.592140
5,B,key_pressed,+,2021-05-23 20:24:03.704182
5,B,key_pressed,3,2021-05-23 20:24:03.952321
5,B,key_pressed,+,2021-05-23 20:24:04.127992
5,B,key_pressed,4,2021-05-23 20:24:04.432064
5,B,key_pressed,+,2021-05-23 20:24:04.575978
5,B,key_pressed,5,2021-05-23 20:24:04.863835
5,B,key_pressed,+,2021-05-23 20:24:05.025448
5,B,key_pressed,6,2021-05-23 20:24:05.343903
5,B,key_pressed,+,2021-05-23 20:24:05.552358
5,B,key_pressed,7,2021-05-23 20:24:05.956604
5,B,key_pressed,+,2021-05-23 20:24:06.144394
5,B,key_pressed,8,2021-05-23 20:24:06.424521
5,B,key_pressed,+,2021-05-23 20:24:06.640444
5,B,key_pressed,9,2021-05-23 20:24:06.920249
5,B,key_pressed,+,2021-05-23 20:24:07.128102
5,B,key_pressed,1,2021-05-23 20:24:07.624051
5,B,key_pressed,0,2021-05-23 20:24:07.856112
5,B,key_pressed,+,2021-05-23 20:24:08.032123
5,B,key_pressed,1,2021-05-23 20:24:08.360166
5,B,key_pressed,1,2021-05-23 20:24:08.536213
5,B,key_pressed,+,2021-05-23 20:24:08.696508
5,B,key_pressed,1,2021-05-23 20:24:08.936072
5,B,key_pressed,2,2021-05-23 20:24:09.336025
5,B,key_pressed,+,2021-05-23 20:24:09.496116
5,B,key_pressed,1,2021-05-23 20:24:09.735839
5,B,key_pressed,3,2021-05-23 20:24:09.952563
5,B,key_pressed,+,2021-05-23 20:24:10.287917
5,B,key_pressed,1,2021-05-23 20:24:10.512000
5,B,key_pressed,4,2021-05-23 20:24:10.871920
5,B,key_pressed,+,2021-05-23 20:24:11.048162
5,B,key_pressed,1,2021-05-23 20:24:11.264785
5,B,key_pressed,5,2021-05-23 20:24:11.496347
5,B,key_pressed,+,2021-05-23 20:24:11.856287
5,B,key_pressed,1,2021-05-23 20:24:12.096330
5,B,key_pressed,6,2021-05-23 20:24:12.303833
5,B,key_pressed,+,2021-05-23 20:24:12.628181
5,B,key_pressed,1,2021-05-23 20:24:12.932158
